Student,LPIPS,SSIM
112C52004.jpg,0.0,1.0
110599004.jpg,0.35275816917419434,0.6966812309921663
110599004.png,0.3529893457889557,0.697011540628778
112C71002.jpg,0.4031570553779602,0.6994935853870707
112C71002.png,0.4031570553779602,0.6994935853870707
112598067.jpg,0.41473299264907837,0.7031789222749197
112598067.png,0.41501882672309875,0.7034003071601216
112C71014.jpg,0.4380810260772705,0.7165666103055174
112C71014.png,0.43893587589263916,0.7169399817129172
112598057.jpg,0.46420708298683167,0.6987593438405414
112598057.png,0.46420708298683167,0.6987593438405414
112598038.jpg,0.46574223041534424,0.6829021123429491
112598038.png,0.46574223041534424,0.6829021123429491
112598033.jpg,0.4681317210197449,0.657890775846473
112598033.png,0.4681317210197449,0.657890775846473
